"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"50947-69777","WR","Darnell","Darnell Mooney","Mooney","5.840000152587891","5","5000","CHI@CAR","CHI","CAR","","","","",""
"50947-12535","D","Indianapolis","Indianapolis Colts","Colts","12.6","5","5000","CIN@IND","IND","CIN","","","","",""
"50947-63806","RB","Kerryon","Kerryon Johnson","Johnson","3.950000047683716","4","5000","DET@JAC","DET","JAC","","","","",""
"50947-43334","RB","J.D.","J.D. McKissic","McKissic","5.279999923706055","5","5000","WAS@NYG","WAS","NYG","","","","",""
"50947-53640","RB","Sony","Sony Michel","Michel","8.866666793823242","3","5000","DEN@NE","NE","DEN","IR","Quadriceps","","",""
"50947-70383","RB","Darrynton","Darrynton Evans","Evans","1.0499999523162842","2","5000","HOU@TEN","TEN","HOU","IR","Hamstring","","",""
"50947-70422","WR","Kalif","Kalif Raymond","Raymond","4.150000095367432","4","5000","HOU@TEN","TEN","HOU","","","","",""
"50947-27477","WR","Sterling","Sterling Shepard","Shepard","6.099999904632568","2","5000","WAS@NYG","NYG","WAS","IR","Toe","","",""
"50947-12555","D","Baltimore","Baltimore Ravens","Ravens","13.8","5","4900","BAL@PHI","BAL","PHI","","","","",""
"50947-14645","WR","Dontrelle","Dontrelle Inman","Inman","5.659999847412109","5","4900","WAS@NYG","WAS","NYG","","","","",""
"50947-94625","WR","Jalen","Jalen Reagor","Reagor","6.050000190734863","2","4900","BAL@PHI","PHI","BAL","IR","Thumb","","",""
"50947-86472","WR","John","John Hightower","Hightower","2.799999952316284","4","4900","BAL@PHI","PHI","BAL","","","","",""
"50947-55970","RB","Royce","Royce Freeman","Freeman","2.5999999046325684","4","4900","DEN@NE","DEN","NE","","","","",""
"50947-39859","TE","Jack","Jack Doyle","Doyle","2.7000001271565757","3","4900","CIN@IND","IND","CIN","","","","",""
"50947-8117","WR","Danny","Danny Amendola","Amendola","5.675000190734863","4","4900","DET@JAC","DET","JAC","","","","",""
"50947-64496","WR","Olamide","Olamide Zaccheaus","Zaccheaus","5.5","4","4900","ATL@MIN","ATL","MIN","","","","",""
"50947-57338","TE","Jordan","Jordan Akins","Akins","7.449999809265137","4","4900","HOU@TEN","HOU","TEN","O","Concussion","","",""
