,Name,Position,Team,Pass Yds,Pass TD,Pass INT,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Ret TD,Fumb TD,2PT,Fumb Lost,Points Total
259,Rashard Higgins,WR,CLE,-,-,-,-,-,1,9,-,-,-,-,,1.90
260,Jacob Hollister,TE,SEA,-,-,-,-,-,1,9,-,-,-,-,,1.90
261,DeAndre Carter,WR,HOU,-,-,-,-,-,1,8,-,-,-,-,,1.80
262,Tyler Eifert,TE,JAX,-,-,-,-,-,1,8,-,-,-,-,,1.80
263,Tyrie Cleveland,WR,DEN,-,-,-,-,-,1,7,-,-,-,-,,1.70
264,Gus Edwards,RB,BAL,-,-,-,17,-,-,-,-,-,-,-,,1.70
265,Gerald Everett,TE,LA,-,-,-,-,-,1,7,-,-,-,-,,1.70
266,Drew Sample,TE,CIN,-,-,-,-,-,1,7,-,-,-,-,,1.70
267,Chris Conley,WR,JAX,-,-,-,-,-,1,6,-,-,-,-,,1.60
268,Mecole Hardman,WR,KC,-,-,-,-,-,1,6,-,-,-,-,,1.60
269,Justin Watson,WR,TB,-,-,-,-,-,1,6,-,-,-,-,,1.60
270,Khari Blasingame,RB,TEN,-,-,-,-,-,1,5,-,-,-,-,,1.50
271,Harrison Bryant,TE,CLE,-,-,-,-,-,1,5,-,-,-,-,,1.50
272,Seth Roberts,WR,CAR,-,-,-,-,-,1,5,-,-,-,-,,1.50
273,A.J. Dillon,RB,GB,-,-,-,14,-,-,-,-,-,-,-,,1.40
274,Duke Johnson,RB,HOU,-,-,-,14,-,-,-,-,-,-,-,,1.40
275,Kerryon Johnson,RB,DET,-,-,-,14,-,-,-,-,-,-,-,,1.40
276,Chris Manhertz,TE,CAR,-,-,-,-,-,1,4,-,-,-,-,,1.40
277,Tre'Quan Smith,WR,NO,-,-,-,-,-,1,4,-,-,-,-,,1.40
278,Vance McDonald,TE,PIT,-,-,-,-,-,1,3,-,-,-,-,,1.30
279,Jaylen Samuels,RB,PIT,-,-,-,2,-,1,1,-,-,-,-,,1.30
280,LeSean McCoy,RB,TB,-,-,-,-,-,1,2,-,-,-,-,,1.20
281,Bruce Miller,RB,JAX,-,-,-,-,-,1,2,-,-,-,-,,1.20
282,Jason Witten,TE,LV,-,-,-,-,-,1,2,-,-,-,-,,1.20
283,Jake Butt,TE,DEN,-,-,-,-,-,1,-,-,-,-,-,,1.00
284,Chris Hogan,WR,NYJ,-,-,-,-,-,1,-,-,-,-,-,,1.00
285,Christian Kirk,WR,ARI,-,-,-,-,-,1,-,-,-,-,-,,1.00
286,James O'Shaughnessy,TE,JAX,-,-,-,-,-,1,-,-,-,-,-,,1.00
287,J.D. McKissic,RB,WAS,-,-,-,-2,-,1,1,-,-,-,-,,0.90
288,John Hightower,WR,PHI,-,-,-,-,-,1,-2,-,-,-,-,,0.80
289,Darrell Henderson,RB,LA,-,-,-,6,-,-,-,-,-,-,-,,0.60
290,D'Ernest Johnson,RB,CLE,-,-,-,5,-,-,-,-,-,-,-,,0.50
291,Justin Jackson,RB,LAC,-,-,-,4,-,-,-,-,-,-,-,,0.40
292,Nick Vannett,TE,DEN,-,-,-,-,-,1,-6,-,-,-,-,,0.40
293,Chris Streveler,QB,ARI,-,-,-,3,-,-,-,-,-,-,-,,0.30
294,Robert Griffin III,QB,BAL,9,-,-,-1,-,-,-,-,-,-,-,,0.26
295,Anthony Sherman,RB,KC,-,-,-,2,-,-,-,-,-,-,-,,0.20
296,Alex Armah,RB,CAR,-,-,-,1,-,-,-,-,-,-,-,,0.10
297,Jason Huntley,RB,PHI,-,-,-,1,-,-,-,-,-,-,-,,0.10
298,Dion Lewis,RB,NYG,-,-,-,1,-,-,-,-,-,-,-,,0.10
299,Jamal Agnew,WR,DET,-,-,-,-,-,-,-,-,-,-,-,,0.00
300,Braxton Berrios,WR,NYJ,-,-,-,-,-,-,-,-,-,-,-,,0.00
301,Mike Boone,RB,MIN,-,-,-,-,-,-,-,-,-,-,-,,0.00
302,Cameron Brate,TE,TB,-,-,-,-,-,-,-,-,-,-,-,,0.00
303,Jacoby Brissett,QB,IND,-,-,-,-,-,-,-,-,-,-,-,,0.00
304,Damiere Byrd,WR,NE,-,-,-,-,-,-,-,-,-,-,-,,0.00
305,Trenton Cannon,RB,CAR,-,-,-,-,-,-,-,-,-,-,-,,0.00
