,team,opp,game_date,week_num,home_game,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_sacked,pass_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,fumbles
161,DET,LAC,2019-09-15,2,True,22.0,30.0,73.3,245.0,2.0,2.0,0.0,8.17,28.0,94.0,3,0.0,0.0
162,DET,PHI,2019-09-22,3,False,18.0,32.0,56.2,201.0,1.0,0.0,0.0,6.28,28.0,86.0,3,1.0,0.0
163,DET,KC,2019-09-29,4,True,21.0,34.0,61.8,291.0,3.0,0.0,4.0,8.56,35.0,186.0,5,0.0,2.0
164,DET,GB,2019-10-14,6,False,18.0,32.0,56.2,265.0,0.0,0.0,3.0,8.28,19.0,47.0,2,1.0,1.0
165,DET,MIN,2019-10-20,7,True,30.0,45.0,66.7,364.0,4.0,1.0,2.0,8.09,20.0,81.0,4,0.0,0.0
166,DET,NYG,2019-10-27,8,True,25.0,32.0,78.1,342.0,3.0,1.0,4.0,10.69,25.0,59.0,2,0.0,1.0
167,DET,LV,2019-11-03,9,False,26.0,41.0,63.4,406.0,3.0,1.0,2.0,9.9,19.0,90.0,4,0.0,1.0
168,DET,CHI,2019-11-10,10,False,27.0,46.0,58.7,269.0,1.0,1.0,2.0,5.85,27.0,98.0,3,0.0,0.0
169,DET,DAL,2019-11-17,11,True,15.0,26.0,57.7,209.0,2.0,0.0,3.0,8.04,28.0,121.0,4,2.0,0.0
170,DET,WSH,2019-11-24,12,False,20.0,33.0,60.6,207.0,1.0,3.0,6.0,6.27,32.0,175.0,5,0.0,2.0
171,DET,CHI,2019-11-28,13,True,22.0,38.0,57.9,280.0,2.0,1.0,2.0,7.37,27.0,105.0,4,0.0,0.0
172,DET,MIN,2019-12-08,14,False,24.0,40.0,60.0,205.0,1.0,2.0,5.0,5.12,22.0,70.0,3,0.0,0.0
173,DET,TB,2019-12-15,15,True,24.0,43.0,55.8,260.0,0.0,2.0,2.0,6.05,18.0,45.0,2,2.0,2.0
174,DET,DEN,2019-12-22,16,False,12.0,24.0,50.0,117.0,1.0,0.0,4.0,4.88,21.0,96.0,4,0.0,0.0
175,DET,GB,2019-12-29,17,True,13.0,30.0,43.3,141.0,1.0,1.0,1.0,4.7,25.0,171.0,6,1.0,0.0
176,GB,CHI,2019-09-05,1,False,18.0,30.0,60.0,203.0,1.0,0.0,5.0,6.77,22.0,47.0,2,0.0,1.0
177,GB,MIN,2019-09-15,2,True,22.0,34.0,64.7,209.0,2.0,0.0,2.0,6.15,33.0,144.0,4,1.0,2.0
178,GB,DEN,2019-09-22,3,True,17.0,29.0,58.6,235.0,1.0,0.0,0.0,8.1,23.0,77.0,3,2.0,0.0
179,GB,PHI,2019-09-26,4,True,34.0,53.0,64.2,422.0,2.0,1.0,1.0,7.96,20.0,77.0,4,1.0,1.0
180,GB,DAL,2019-10-06,5,False,22.0,34.0,64.7,238.0,0.0,0.0,2.0,7.0,29.0,120.0,4,4.0,0.0
181,GB,DET,2019-10-14,6,True,24.0,39.0,61.5,283.0,2.0,1.0,1.0,7.26,29.0,170.0,5,0.0,2.0
182,GB,LV,2019-10-20,7,True,25.0,31.0,80.6,429.0,5.0,0.0,1.0,13.84,23.0,60.0,2,1.0,0.0
183,GB,KC,2019-10-27,8,False,23.0,33.0,69.7,305.0,3.0,0.0,5.0,9.24,26.0,118.0,4,1.0,0.0
184,GB,LAC,2019-11-03,9,False,23.0,35.0,65.7,161.0,1.0,0.0,3.0,4.6,11.0,45.0,3,0.0,0.0
185,GB,CAR,2019-11-10,10,True,17.0,29.0,58.6,233.0,0.0,0.0,2.0,8.03,27.0,163.0,6,3.0,0.0
186,GB,SF,2019-11-24,12,False,23.0,37.0,62.2,119.0,1.0,0.0,5.0,3.22,28.0,117.0,4,0.0,1.0
187,GB,NYG,2019-12-01,13,False,21.0,33.0,63.6,243.0,4.0,0.0,0.0,7.36,26.0,79.0,3,0.0,1.0
188,GB,WSH,2019-12-08,14,True,18.0,28.0,64.3,195.0,1.0,0.0,4.0,6.96,28.0,174.0,6,1.0,1.0
189,GB,CHI,2019-12-15,15,True,16.0,33.0,48.5,203.0,1.0,0.0,1.0,6.15,24.0,100.0,4,2.0,0.0
