,Unnamed: 0,Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST,2PT,RET TD,Paddy
122,407,DeAndre Washington,KC,RB,0.0,10/25/2020,@Broncos,W 43 - 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.7,3.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.2
123,216,DeSean Jackson,PHI,WR,0.0,10/23/2020,Giants,W 22 - 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,12.0,0.0,3.0,34.0,11.3,15.0,0.0,0.0,0.0,0.0,0.0,6.1000000000000005
124,93,DeeJay Dallas,SEA,RB,0.0,10/26/2020,@Cardinals,L 34 - 37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,2.8
125,353,Deebo Samuel,SF,WR,0.0,10/25/2020,@Patriots,W 33 - 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,2.3,3.0,0.0,5.0,65.0,13.0,23.0,0.0,0.0,0.0,0.0,0.0,9.7
126,305,Demarcus Robinson,KC,WR,0.0,10/25/2020,@Broncos,W 43 - 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9
127,182,Demetrius Harris,CHI,TE,0.0,10/27/2020,@Rams,L 10 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,7.5,9.0,0.0,0.0,0.0,0.0,0.0,2.5
128,249,Denzel Mims,NYJ,WR,0.0,10/25/2020,Bills,L 10 - 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,42.0,10.5,16.0,0.0,0.0,0.0,0.0,0.0,6.2
130,181,Deonte Harris,NO,WR,0.0,10/25/2020,Panthers,W 27 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,46.0,11.5,18.0,1.0,0.0,0.0,0.0,0.0,12.600000000000001
131,71,Derek Carr,LV,QB,0.0,10/25/2020,Buccaneers,L 20 - 45,24.0,36.0,284.0,7.9,2.0,1.0,3.0,13.0,97.5,2.0,19.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.259999999999998
133,173,Derrick Henry,TEN,RB,0.0,10/25/2020,Steelers,L 24 - 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,75.0,3.8,17.0,1.0,2.0,-3.0,-1.5,-1.0,0.0,0.0,0.0,0.0,0.0,14.2
134,402,Deshaun Watson,HOU,QB,0.0,10/25/2020,Packers,L 20 - 35,29.0,39.0,309.0,7.9,2.0,0.0,3.0,23.0,114.2,7.0,38.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.16
136,340,Devin Singletary,BUF,RB,0.0,10/25/2020,@Jets,W 18 - 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,29.0,3.6,12.0,0.0,2.0,18.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,5.7
137,110,Devonta Freeman,NYG,RB,0.0,10/23/2020,@Eagles,L 21 - 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,2.7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
138,34,Devontae Booker,LV,RB,0.0,10/25/2020,Buccaneers,L 20 - 45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.7,2.0,0.0,2.0,9.0,4.5,6.0,0.0,0.0,0.0,0.0,0.0,2.4
140,234,Dion Lewis,NYG,RB,0.0,10/23/2020,@Eagles,L 21 - 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,23.0,7.7,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.30000000000000027
141,206,Diontae Johnson,PIT,WR,0.0,10/25/2020,@Titans,W 27 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,80.0,8.9,14.0,2.0,0.0,0.0,0.0,0.0,24.5
