,Name,max,min,mean,std,D Pass Yds/Game,D Pass Yds/Att,D Pass TDs/Game,D Rush Yds/Game,D Rush YPC,D Rush TDs/Game
28,Austin Ekeler,25.8,1.9,13.42,10.25,238.7,7.6,1.5,135.0,4.8,1.5
29,Justin Jackson,15.7,0.4,7.82,6.25,238.7,7.6,1.5,135.0,4.8,1.5
30,Josh Jacobs,33.9,4.6,15.53,9.28,300.3,8.4,2.2,106.3,4.4,1.1
31,Devontae Booker,20.8,1.0,6.83,6.34,300.3,8.4,2.2,106.3,4.4,1.1
32,Jalen Richard,8.6,2.0,3.66,2.22,300.3,8.4,2.2,106.3,4.4,1.1
33,Nick Chubb,25.8,4.3,14.78,9.24,282.2,8.2,2.1,129.1,4.3,1.3
34,Kareem Hunt,23.1,6.7,13.85,5.39,282.2,8.2,2.1,129.1,4.3,1.3
35,D'Ernest Johnson,9.5,0.1,2.68,3.65,282.2,8.2,2.1,129.1,4.3,1.3
36,Andy Janovich,1.8,0.0,0.68,0.78,282.2,8.2,2.1,129.1,4.3,1.3
37,James Robinson,27.9,7.5,14.32,6.19,247.9,7.1,2.0,105.0,4.0,0.9
38,Alvin Kamara,38.2,10.5,22.34,9.14,224.8,6.7,1.5,121.5,4.3,1.0
39,Latavius Murray,20.8,4.3,7.47,4.92,224.8,6.7,1.5,121.5,4.3,1.0
40,Michael Burton,1.8,0.1,0.82,0.82,224.8,6.7,1.5,121.5,4.3,1.0
41,Leonard Fournette,25.6,2.4,9.09,7.51,221.6,6.8,1.4,133.5,4.6,1.0
42,Ronald Jones,25.1,2.4,11.53,7.69,221.6,6.8,1.4,133.5,4.6,1.0
43,LeSean McCoy,4.6,0.7,2.2,1.71,221.6,6.8,1.4,133.5,4.6,1.0
44,Giovani Bernard,21.3,0.9,8.35,6.61,257.7,7.6,1.5,100.9,4.0,1.0
45,Samaje Perine,9.9,0.0,3.92,4.04,257.7,7.6,1.5,100.9,4.0,1.0
46,Joe Mixon,39.1,5.6,14.85,12.27,257.7,7.6,1.5,100.9,4.0,1.0
47,Cam Akers,8.4,1.3,5.05,2.4,208.9,7.0,1.7,107.0,3.9,0.7
48,Malcolm Brown,24.5,1.9,8.57,7.46,208.9,7.0,1.7,107.0,3.9,0.7
49,Darrell Henderson,20.3,0.6,9.85,7.19,208.9,7.0,1.7,107.0,3.9,0.7
50,Todd Gurley,23.0,3.4,13.12,6.43,273.6,7.3,1.6,112.2,4.4,1.6
51,Brian Hill,14.5,1.8,4.92,3.82,273.6,7.3,1.6,112.2,4.4,1.6
52,Ito Smith,4.2,0.0,1.55,1.53,273.6,7.3,1.6,112.2,4.4,1.6
53,Patrick Laird,2.1,0.7,1.58,0.58,288.3,8.0,1.9,111.7,3.8,1.2
54,Matt Breida,6.4,0.4,3.08,2.43,288.3,8.0,1.9,111.7,3.8,1.2
55,Myles Gaskin,17.6,7.7,11.93,3.39,288.3,8.0,1.9,111.7,3.8,1.2
56,Devonta Freeman,15.7,0.8,6.5,6.18,254.7,7.4,2.2,136.2,5.0,0.8
57,Wayne Gallman,18.5,1.9,8.94,6.55,254.7,7.4,2.2,136.2,5.0,0.8
58,Dion Lewis,13.6,0.1,3.45,4.18,254.7,7.4,2.2,136.2,5.0,0.8
59,Elijhaa Penny,1.6,0.0,0.52,0.73,254.7,7.4,2.2,136.2,5.0,0.8
60,JaMycal Hasty,9.6,1.9,4.6,3.28,200.6,6.1,1.1,91.3,3.9,0.8
61,Jerick McKinnon,19.2,-0.1,9.65,6.55,200.6,6.1,1.1,91.3,3.9,0.8
62,Raheem Mostert,23.1,8.6,15.7,6.18,200.6,6.1,1.1,91.3,3.9,0.8
63,Jeff Wilson,31.0,0.3,11.36,13.65,200.6,6.1,1.1,91.3,3.9,0.8
64,Zack Moss,20.1,1.0,8.24,6.67,228.7,6.8,2.0,115.3,4.6,1.0
65,Devin Singletary,16.2,1.5,7.73,4.6,228.7,6.8,2.0,115.3,4.6,1.0
