,Name,Team,Position,Salary
847,Isaiah Wright,WSH,WR,4500.0
903,De'Lance Turner,MIA,RB,4500.0
670,Patrick Carr,SEA,RB,4500.0
906,Vyncint Smith,NYJ,WR,4500.0
669,Emanuel Hall,WSH,WR,4500.0
668,Johnathon Johnson,WSH,WR,4500.0
911,Eno Benjamin,ARI,RB,4500.0
845,Patrick Taylor,GB,RB,4500.0
720,Sutton Smith,SEA,RB,4500.0
723,John Ursua,SEA,WR,4500.0
724,Deontay Burnett,PHI,WR,4500.0
843,Trishton Jackson,LAR,WR,4500.0
914,Nick Easley,BUF,WR,4500.0
0,Christian Wade,BUF,RB,4500.0
965,Keelan Doss,LV,WR,4500.0
266,Cody Core,NYG,WR,4500.0
279,Josh Doctson,NYJ,WR,4500.0
316,Kyle Juszczyk,SF,RB,4500.0
80,Devin Phelps,ARI,WR,4500.0
81,Shane Leatherbury,ARI,WR,4500.0
83,JJ Koski,LAR,WR,4500.0
306,Ryan Switzer,CLE,WR,4500.0
304,TJ Logan,TB,RB,4500.0
302,Wendell Smallwood,PIT,RB,4500.0
298,Dwayne Washington,NO,RB,4500.0
294,Geremy Davis,DET,WR,4500.0
287,Senorise Perry,TEN,RB,4500.0
283,Chris Moore,BAL,WR,4500.0
84,Earnest Edwards,LAR,WR,4500.0
277,Marquise Goodwin,PHI,WR,4500.0
260,Jonathan Williams,DET,RB,4500.0
274,Gehrig Dieter,KC,WR,4500.0
271,Luke Willson,BAL,TE,4500.0
270,Corey Coleman,NYG,WR,4500.0
268,Fred Brown,DEN,WR,4500.0
267,Donte Moncrief,NE,WR,4500.0
592,James Gilbert,LAR,RB,4500.0
265,Spencer Ware,CHI,RB,4500.0
264,Jeremy Hill,LV,RB,4500.0
262,Odell Beckham,CLE,WR,4500.0
86,Chris Rowland,ATL,WR,4500.0
87,Juwan Green,ATL,WR,4500.0
88,Mikey Daniel,ATL,RB,4500.0
77,Marvelle Ross,JAX,WR,4500.0
76,Zimari Manning,DEN,WR,4500.0
328,Ishmael Hyman,CAR,WR,4500.0
329,Elijah Wellman,GB,RB,4500.0
390,JoJo Natson,CLE,WR,4500.0
