,Name,Team,Opp,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Avg Points,Avg Points (3 weeks),Salary,Injury,Predicted
188,K.J. Hill,LAC,BUF,,,2.0,,1.3,,,,-2.0,,,0.4,0.4,4500,,0.39
339,JoJo Natson,CLE,JAX,,,0.3,,,,,,,,,0.3,0.3,4500,IR,0.35
150,Alex Erickson,CIN,NYG,,,,2.1,,0.0,,,,-2.0,1.5,0.4,-0.2,4500,,0.22
361,Tajae Sharpe,MIN,CAR,0.0,,,,,,,,,,,0.0,0.0,4500,,0.0
210,Nsimba Webster,LAR,SF,,,,,,,,0.0,,,,0.0,0.0,4500,,0.0
198,K.J. Osborn,MIN,CAR,,,,,,,,,,,0.0,0.0,0.0,4500,,0.0
349,Dante Pettis,NYG,CIN,0.0,,,,,,,-2.0,,,,-1.0,-1.0,4500,O,-1.12
202,Matthew Slater,NE,ARI,,,,,,,,,,,,,,4500,Q,
214,Quincy Adeboyejo,NE,ARI,,,,,,,,,,,,,,4500,IR,
224,Omar Bayless,CAR,MIN,,,,,,,,,,,,,,4500,IR,
231,Justin Blackmon,JAX,CLE,,,,,,,,,,,,,,,,
246,Dan Chisena,MIN,CAR,,,,,,,,,,,,,,4500,,
250,Cody Core,NYG,CIN,,,,,,,,,,,,,,4500,IR,
289,Isaiah Hodgins,BUF,LAC,,,,,,,,,,,,,,4500,IR,
297,Jalen Hurd,SF,LAR,,,,,,,,,,,,,,4500,IR,
299,Trishton Jackson,LAR,SF,,,,,,,,,,,,,,4500,,
346,Dezmon Patmon,IND,TEN,,,,,,,,,,,,,,4500,,
367,David Sills,NYG,CIN,,,,,,,,,,,,,,4500,IR,
381,Taywan Taylor,CLE,JAX,,,,,,,,,,,,,,4500,,
386,Chris Thompson,SF,LAR,,,,,,,,,,,,,,4500,IR,
401,Tyrell Williams,LV,ATL,,,,,,,,,,,,,,4500,IR,
